COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
OECDTOT,BALANCE,TOTPRODS,REFFUEL,Nov-21,6579.904
OECDTOT,BALANCE,TOTPRODS,REFFUEL,Nov-22,6387.095
OECDTOT,BALANCE,TOTPRODS,REFFUEL,YTD2021,69375.993
OECDTOT,BALANCE,TOTPRODS,REFFUEL,YTD2022,72668.387
OECDTOT,BALANCE,TOTPRODS,REFGROUT,2020,1751305.179
OECDTOT,BALANCE,TOTPRODS,REFGROUT,2021,1823351.197
OECDTOT,BALANCE,TOTPRODS,REFGROUT,3Q2022,488471.167
OECDTOT,BALANCE,TOTPRODS,REFGROUT,Nov-21,157299.255
OECDTOT,BALANCE,TOTPRODS,REFGROUT,Nov-22,160062.576
OECDTOT,BALANCE,TOTPRODS,REFGROUT,YTD2021,1659580.43
OECDTOT,BALANCE,TOTPRODS,REFGROUT,YTD2022,1735401.334
OECDTOT,BALANCE,TOTPRODS,STATDIFF,2020,28839.095
OECDTOT,BALANCE,TOTPRODS,STATDIFF,2021,43084.142
OECDTOT,BALANCE,TOTPRODS,STATDIFF,3Q2022,5246.764
OECDTOT,BALANCE,TOTPRODS,STATDIFF,Nov-21,3541.732
OECDTOT,BALANCE,TOTPRODS,STATDIFF,Nov-22,2838.172
OECDTOT,BALANCE,TOTPRODS,STATDIFF,YTD2021,41795.439
OECDTOT,BALANCE,TOTPRODS,STATDIFF,YTD2022,20048.501
OECDTOT,BALANCE,TOTPRODS,STCHANAT,2020,8653.813
OECDTOT,BALANCE,TOTPRODS,STCHANAT,2021,-24345.524
OECDTOT,BALANCE,TOTPRODS,STCHANAT,3Q2022,633.681
OECDTOT,BALANCE,TOTPRODS,STCHANAT,Nov-21,-1083.256
OECDTOT,BALANCE,TOTPRODS,STCHANAT,Nov-22,3214.831
OECDTOT,BALANCE,TOTPRODS,STCHANAT,YTD2021,-20858.309
OECDTOT,BALANCE,TOTPRODS,STCHANAT,YTD2022,2596.476
OECDTOT,BALANCE,TOTPRODS,TOTEXPSB,2020,617237.984
OECDTOT,BALANCE,TOTPRODS,TOTEXPSB,2021,649718.148
OECDTOT,BALANCE,TOTPRODS,TOTEXPSB,3Q2022,174099.413
